category,answer,pred,response
civil_engineering,D,D,D
civil_engineering,C,B,B
civil_engineering,C,B,B
civil_engineering,D,D,D
civil_engineering,C,A,A
civil_engineering,C,C,C
civil_engineering,C,C,C
civil_engineering,D,D,D
civil_engineering,D,C,C
civil_engineering,C,B,B
civil_engineering,D,D,D
civil_engineering,C,B,B
marketing,A,A,A
marketing,D,D,D
marketing,C,C,C
marketing,C,C,C
marketing,B,A,A
marketing,B,B,B
marketing,D,D,D
marketing,D,D,D
marketing,C,C,C
marketing,B,B,B
marketing,D,D,D
marketing,D,D,D
civil_engineering,D,D,D
civil_engineering,C,D,D
civil_engineering,C,C,C
civil_engineering,C,C,C
marketing,B,B,B
marketing,A,A,A
marketing,B,B,B
marketing,D,D,D
civil_engineering,C,B,B
civil_engineering,C,B,B
civil_engineering,B,C,C
civil_engineering,B,B,B
marketing,C,D,D
marketing,B,C,C
marketing,C,C,C
marketing,B,B,B
civil_engineering,B,D,D
civil_engineering,B,B,B
civil_engineering,C,C,C
civil_engineering,D,B,B
civil_engineering,B,B,B
civil_engineering,D,B,B
civil_engineering,C,C,C
civil_engineering,D,B,B
marketing,B,B,B
marketing,D,D,D
marketing,B,D,D
marketing,B,B,B
civil_engineering,B,B,B
civil_engineering,D,C,C
civil_engineering,C,D,D
civil_engineering,B,B,B
marketing,D,D,D
marketing,D,D,D
marketing,C,C,C
marketing,C,C,C
civil_engineering,D,B,B
civil_engineering,C,D,D
civil_engineering,D,D,D
civil_engineering,B,B,B
marketing,C,C,C
marketing,B,B,B
marketing,B,B,B
marketing,B,B,B
marketing,C,C,C
marketing,D,D,D
marketing,D,D,D
marketing,D,D,D
civil_engineering,C,C,C
civil_engineering,C,C,C
civil_engineering,B,B,B
civil_engineering,B,C,C
marketing,D,D,D
marketing,C,C,C
marketing,D,A,A
marketing,D,D,D
civil_engineering,D,A,A
civil_engineering,B,B,B
civil_engineering,D,B,B
civil_engineering,B,C,C
marketing,C,C,C
marketing,D,D,D
marketing,C,C,C
marketing,B,B,B
civil_engineering,C,C,C
civil_engineering,B,B,B
civil_engineering,D,B,B
civil_engineering,B,B,B
marketing,B,D,D
marketing,B,B,B
marketing,D,D,D
marketing,D,D,D
civil_engineering,D,D,D
civil_engineering,C,C,C
civil_engineering,C,C,C
civil_engineering,D,D,D
marketing,C,A,A
marketing,C,C,C
marketing,B,B,B
marketing,B,B,B
civil_engineering,B,B,B
civil_engineering,B,B,B
civil_engineering,C,A,A
civil_engineering,C,B,B
marketing,B,B,B
marketing,D,D,D
marketing,C,C,C
marketing,A,A,A
civil_engineering,C,C,C
civil_engineering,C,C,C
civil_engineering,D,D,D
civil_engineering,C,B,B
marketing,D,D,D
marketing,D,D,D
marketing,C,C,C
marketing,C,C,C
civil_engineering,B,A,A
civil_engineering,B,B,B
civil_engineering,D,D,D
civil_engineering,D,B,B
marketing,B,B,B
marketing,B,B,B
marketing,C,C,C
marketing,B,C,C
civil_engineering,D,A,A
civil_engineering,C,C,C
civil_engineering,C,B,B
civil_engineering,C,C,C
marketing,C,C,C
